case_id,municipality,case_hybrid_score,case_hybrid_raw,n_events_case,event_score_mean,event_score_median,avg_resource_score_in_case
10002463,BPIC15_4,0.834,0.827515638882536,46,0.737,0.76,0.469
10003257,BPIC15_4,0.914,0.9030298368964896,13,0.907,0.924,0.939
10009280,BPIC15_1,0.856,0.8479451535330649,45,0.822,0.84,0.649
10044881,BPIC15_4,0.918,0.9072219730352672,13,0.926,0.952,0.939
10051546,BPIC15_1,0.445,0.4580875048694124,57,0.717,0.727,0.649
10053184,BPIC15_1,0.87,0.861939085575234,57,0.733,0.754,0.892
10061287,BPIC15_5,0.809,0.8034758050394991,51,0.773,0.787,0.045
10063994,BPIC15_5,0.451,0.463970723091,100,0.651,0.66,0.825
10065028,BPIC15_5,0.891,0.8812739906555194,12,0.909,0.914,0.793
10069618,BPIC15_4,0.48,0.4916705470656097,116,0.739,0.748,0.939
10083477,BPIC15_1,0.87,0.8616654883434666,58,0.742,0.762,0.892
10089887,BPIC15_4,0.411,0.4258078901288786,53,0.673,0.696,0.129
10090847,BPIC15_4,0.42,0.4347814512648058,41,0.707,0.727,0.129
10103663,BPIC15_5,0.427,0.4410008801843132,75,0.682,0.695,0.413
10128088,BPIC15_5,0.829,0.8229494994299528,59,0.746,0.763,0.413
10128593,BPIC15_1,0.474,0.4856565744362957,56,0.691,0.708,0.892
10143057,BPIC15_4,0.84,0.8335043364210508,43,0.749,0.774,0.469
10153227,BPIC15_1,0.875,0.8664185835754747,58,0.746,0.766,0.892
10156963,BPIC15_1,0.85,0.8428881556828003,47,0.8,0.815,0.649
10157685,BPIC15_4,0.435,0.4492658616723106,55,0.673,0.678,0.469
10158293,BPIC15_4,0.829,0.8223676380137124,41,0.806,0.823,0.129
10178091,BPIC15_5,0.484,0.4954770927416824,42,0.845,0.857,0.949
10186145,BPIC15_4,0.818,0.8127153932086024,53,0.749,0.764,0.129
10186160,BPIC15_1,0.466,0.4787520863432794,71,0.653,0.662,0.892
10186788,BPIC15_1,0.843,0.8356649197986776,55,0.735,0.764,0.649
10187555,BPIC15_4,0.535,0.5434603129995337,5,0.907,0.911,0.97
10190757,BPIC15_5,0.828,0.8215330147078214,71,0.734,0.749,0.413
10206711,BPIC15_5,0.433,0.4470602279153562,9,0.906,0.921,0.045
10213692,BPIC15_4,0.827,0.82098298812978,42,0.802,0.824,0.129
10233937,BPIC15_5,0.929,0.9173724781430084,35,0.82,0.843,0.993
10236572,BPIC15_4,0.443,0.4567173304220155,44,0.714,0.731,0.469
10245683,BPIC15_4,0.827,0.8212434112372681,42,0.803,0.821,0.129
10269181,BPIC15_5,0.439,0.4525133695977746,130,0.584,0.601,0.921
10269214,BPIC15_4,0.845,0.8377401200615058,42,0.776,0.79,0.469
10284719,BPIC15_5,0.93,0.9190392395489038,59,0.817,0.844,0.993
10288745,BPIC15_5,0.443,0.4565244324678807,50,0.732,0.748,0.413
10294556,BPIC15_1,0.412,0.4268088102810717,52,0.75,0.772,0.215
10315201,BPIC15_4,0.848,0.8406633209932477,42,0.789,0.802,0.469
10328856,BPIC15_4,0.418,0.432430141150698,42,0.704,0.728,0.129
10335544,BPIC15_4,0.853,0.8455496486571741,21,0.849,0.884,0.469
10335820,BPIC15_1,0.882,0.8728441197766001,43,0.785,0.812,0.892
10339498,BPIC15_1,0.836,0.8290166996551224,44,0.813,0.836,0.215
10339748,BPIC15_4,0.844,0.8373183316415119,24,0.833,0.855,0.469
10341748,BPIC15_5,0.853,0.8458313566972316,52,0.771,0.792,0.793
10342788,BPIC15_1,0.879,0.8699999381746086,44,0.765,0.784,0.892
10354012,BPIC15_5,0.393,0.4091471703496163,82,0.626,0.624,0.413
10359010,BPIC15_4,0.839,0.8322438972733146,20,0.868,0.903,0.129
10362581,BPIC15_1,0.498,0.5091605561901982,25,0.827,0.852,0.972
10387353,BPIC15_5,0.841,0.834495566498878,65,0.814,0.816,0.413
10392190,BPIC15_5,0.433,0.4469659386304657,59,0.696,0.717,0.413
10402582,BPIC15_4,0.832,0.8254608994871311,28,0.84,0.878,0.129
10428643,BPIC15_4,0.418,0.4326532387734826,42,0.677,0.702,0.129
10432975,BPIC15_1,0.892,0.8827699523186029,54,0.737,0.75,0.965
10434471,BPIC15_1,0.881,0.8723321583025411,59,0.66,0.679,0.965
10443984,BPIC15_1,0.48,0.4918770518903452,44,0.731,0.75,0.892
10452248,BPIC15_4,0.821,0.8150196232864839,67,0.679,0.707,0.469
10465950,BPIC15_5,0.816,0.8105811840594218,60,0.715,0.736,0.413
10470062,BPIC15_5,0.41,0.4250389483586455,67,0.695,0.705,0.045
10478092,BPIC15_5,0.379,0.3954767494661843,74,0.608,0.63,0.045
10490034,BPIC15_4,0.839,0.8321069611121377,13,0.888,0.908,0.129
10494971,BPIC15_4,0.824,0.8178103672101054,40,0.81,0.821,0.129
10495582,BPIC15_4,0.415,0.4302816052103521,42,0.678,0.706,0.129
