case_id,municipality,case_hybrid_score,case_hybrid_raw
10002463,BPIC15_4,0.834,0.827515638882536
10003257,BPIC15_4,0.914,0.9030298368964895
10009280,BPIC15_1,0.856,0.8479451535330649
10044881,BPIC15_4,0.918,0.9072219730352672
10051546,BPIC15_1,0.445,0.4580875048694124
10053184,BPIC15_1,0.87,0.861939085575234
10061287,BPIC15_5,0.809,0.8034758050394991
10063994,BPIC15_5,0.451,0.46397072309100007
10065028,BPIC15_5,0.891,0.8812739906555194
10069618,BPIC15_4,0.48,0.49167054706560975
10083477,BPIC15_1,0.87,0.8616654883434666
10089887,BPIC15_4,0.411,0.4258078901288786
10090847,BPIC15_4,0.42,0.4347814512648058
10103663,BPIC15_5,0.427,0.4410008801843132
10128088,BPIC15_5,0.829,0.8229494994299528
10128593,BPIC15_1,0.474,0.48565657443629573
10143057,BPIC15_4,0.84,0.8335043364210508
10153227,BPIC15_1,0.875,0.8664185835754747
10156963,BPIC15_1,0.85,0.8428881556828003
10157685,BPIC15_4,0.435,0.4492658616723106
10158293,BPIC15_4,0.829,0.8223676380137124
10178091,BPIC15_5,0.484,0.4954770927416824
10186145,BPIC15_4,0.818,0.8127153932086024
10186160,BPIC15_1,0.466,0.4787520863432794
10186788,BPIC15_1,0.843,0.8356649197986776
10187555,BPIC15_4,0.535,0.5434603129995337
10190757,BPIC15_5,0.828,0.8215330147078214
10206711,BPIC15_5,0.433,0.44706022791535627
10213692,BPIC15_4,0.827,0.82098298812978
10233937,BPIC15_5,0.929,0.9173724781430084
10236572,BPIC15_4,0.443,0.4567173304220155
10245683,BPIC15_4,0.827,0.8212434112372681
10269181,BPIC15_5,0.439,0.45251336959777466
10269214,BPIC15_4,0.845,0.8377401200615058
10284719,BPIC15_5,0.93,0.9190392395489038
10288745,BPIC15_5,0.443,0.4565244324678807
10294556,BPIC15_1,0.412,0.4268088102810717
10315201,BPIC15_4,0.848,0.8406633209932477
10328856,BPIC15_4,0.418,0.432430141150698
10335544,BPIC15_4,0.853,0.8455496486571741
10335820,BPIC15_1,0.882,0.8728441197766001
10339498,BPIC15_1,0.836,0.8290166996551224
10339748,BPIC15_4,0.844,0.8373183316415119
10341748,BPIC15_5,0.853,0.8458313566972316
10342788,BPIC15_1,0.879,0.8699999381746086
10354012,BPIC15_5,0.393,0.40914717034961634
10359010,BPIC15_4,0.839,0.8322438972733146
10362581,BPIC15_1,0.498,0.5091605561901982
10387353,BPIC15_5,0.841,0.834495566498878
10392190,BPIC15_5,0.433,0.44696593863046574
10402582,BPIC15_4,0.832,0.8254608994871311
10428643,BPIC15_4,0.418,0.4326532387734826
10432975,BPIC15_1,0.892,0.8827699523186029
10434471,BPIC15_1,0.881,0.8723321583025411
10443984,BPIC15_1,0.48,0.49187705189034525
10452248,BPIC15_4,0.821,0.8150196232864839
10465950,BPIC15_5,0.816,0.8105811840594218
10470062,BPIC15_5,0.41,0.4250389483586455
10478092,BPIC15_5,0.379,0.3954767494661843
10490034,BPIC15_4,0.839,0.8321069611121377
10494971,BPIC15_4,0.824,0.8178103672101054
10495582,BPIC15_4,0.415,0.43028160521035214
10500140,BPIC15_1,0.831,0.8243100335914746
10501237,BPIC15_1,0.865,0.8564871322897115
10513698,BPIC15_4,0.42,0.434794645347275
10517826,BPIC15_4,0.422,0.4370570165663654
10519972,BPIC15_5,0.393,0.40913409782683424
10526343,BPIC15_4,0.429,0.44353881422853136
10550640,BPIC15_1,0.881,0.8717434885540084
10550720,BPIC15_4,0.839,0.8325741802874131
10551774,BPIC15_4,0.895,0.8855238127575787
10554693,BPIC15_4,0.824,0.8181012798196774
10562477,BPIC15_4,0.823,0.8174879438240908
10564434,BPIC15_4,0.427,0.4415230568532493
10571906,BPIC15_4,0.829,0.8223702966302359
10585504,BPIC15_4,0.894,0.8842958899572717
10588329,BPIC15_4,0.83,0.8240665146335102
10598388,BPIC15_4,0.822,0.8162369174730111
10621240,BPIC15_1,0.849,0.8419037847986661
10629651,BPIC15_4,0.847,0.839806363172849
10632542,BPIC15_4,0.415,0.42963155610885523
10639563,BPIC15_4,0.837,0.8302224682054317
10640674,BPIC15_4,0.855,0.8476956306946047
10652795,BPIC15_4,0.444,0.45710039455338786
10653756,BPIC15_4,0.839,0.8327585971603991
10658243,BPIC15_1,0.455,0.4684046406416475
10659380,BPIC15_1,0.87,0.8612844996818716
10667709,BPIC15_1,0.827,0.8206742555564327
10675546,BPIC15_4,0.411,0.42578257760252775
10680390,BPIC15_1,0.517,0.526593158647693
10694893,BPIC15_4,0.902,0.89213207769317
10697381,BPIC15_4,0.835,0.8282507678285534
10704982,BPIC15_4,0.841,0.8343517860782332
10707468,BPIC15_4,0.417,0.4323963506683373
10708347,BPIC15_5,0.385,0.40125108022495404
10722198,BPIC15_5,0.834,0.8275852386249725
10730107,BPIC15_1,0.466,0.47883767435587704
10730130,BPIC15_5,0.807,0.8019008924220722
10732270,BPIC15_4,0.419,0.4342020180631065
10734436,BPIC15_5,0.895,0.8853695953642732
10735200,BPIC15_4,0.816,0.8101440212349749
10738509,BPIC15_5,0.491,0.5020977493657387
10748902,BPIC15_4,0.828,0.8222789870056826
10757934,BPIC15_4,0.834,0.8275282471060817
10757942,BPIC15_4,0.903,0.8931537471324044
10765002,BPIC15_4,0.824,0.8178653085189673
10767150,BPIC15_4,0.831,0.8243338051435666
10774676,BPIC15_4,0.821,0.8148715612417453
10780512,BPIC15_4,0.816,0.8105074218949084
10790056,BPIC15_1,0.883,0.8744894741624917
10797748,BPIC15_4,0.831,0.8244510827858811
10810588,BPIC15_4,0.406,0.4211210157386536
10820814,BPIC15_4,0.825,0.8188252936592957
10837834,BPIC15_5,0.837,0.8307474444590591
10846680,BPIC15_1,0.853,0.8459521741840456
10851681,BPIC15_4,0.849,0.8417383131497599
10852936,BPIC15_4,0.854,0.8461647419999255
10853308,BPIC15_1,0.843,0.8359707911301345
