resource,resource_score,res_outlier
10716070,0.641,True
1550894,0.166,True
1946514,0.67,False
2013365,0.184,True
2670601,0.536,False
2894257,0.972,False
3069865,0.413,False
3069866,0.249,True
3122446,0.603,False
3148844,0.714,False
3175153,0.672,False
3273854,0.575,False
3442724,0.367,True
4634935,0.376,True
4676453,0.713,False
4676959,0.648,False
4901428,0.12,True
4936828,0.556,True
5025869,0.583,False
560429,0.423,True
560431,0.453,False
560454,0.128,True
560458,0.125,True
560462,0.573,True
560464,0.221,True
560519,0.307,True
560521,0.253,True
560530,0.324,True
560532,0.877,False
560589,0.773,False
560594,0.66,False
560596,0.332,False
560598,0.464,False
560600,0.159,True
560602,0.787,False
560604,0.0,True
560608,0.354,True
560665,0.962,False
560683,0.681,True
560690,0.812,False
560694,0.549,True
560696,0.188,True
560699,1.0,False
560713,0.757,False
560719,0.773,False
560752,0.748,False
560765,0.696,False
560781,0.936,False
560812,0.169,True
560837,0.553,False
560849,0.347,True
560852,0.063,True
560872,0.535,False
560881,0.736,False
560884,0.877,True
560890,0.947,False
560894,0.686,False
560912,0.379,True
560922,0.726,False
560925,0.513,False
560950,0.571,True
560999,0.7,False
7096495,0.565,False
Unknown,0.848,False
